GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14	Tris(2-butoxyethyl) phosphate	InChI=1S/C18H39O7P/c1-4-7-10-20-13-16-23-26(19,24-17-14-21-11-8-5-2)25-18-15-22-12-9-6-3/h4-18H2,1-3H3	CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC	other	other		environmental	environmental	environmental	organophosphate						yes	yes	yes	yes	flame retardant, plasticizer	https://pubchem.ncbi.nlm.nih.gov/compound/Tris_2-butoxyethyl__phosphate#section=Pharmacology-and-Biochemistry
Tris(2-chloropropyl) phosphate	Tris(2-chloropropyl) phosphate	InChI=1S/C9H18Cl3O4P/c1-7(10)4-14-17(13,15-5-8(2)11)16-6-9(3)12/h7-9H,4-6H2,1-3H3	CC(COP(=O)(OCC(C)Cl)OCC(C)Cl)Cl				environmental	environmental	environmental	organophosphate						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Tris_2-chloropropyl__phosphate
2-(Cyclohexylamino)ethanesulfonic acid	2-(Cyclohexylamino)ethanesulfonic acid	InChI=1S/C8H17NO3S/c10-13(11,12)7-6-9-8-4-2-1-3-5-8/h8-9H,1-7H2,(H,10,11,12)	C1CCC(CC1)NCCS(=O)(=O)O	other			environmental	environmental	environmental	buffer						yes		yes	no	buffer	https://pubchem.ncbi.nlm.nih.gov/compound/N-Cyclohexyltaurine
5-Hydroxythiabendazole	5-Hydroxythiabendazole	InChI=1S/C10H7N3OS/c14-6-1-2-7-8(3-6)13-10(12-7)9-4-15-5-11-9/h1-5,14H,(H,12,13)	C1=CC2=C(C=C1O)NC(=N2)C3=CSC=N3			thiazole	biocide, other	environmental	environmental	biocide			yes	pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/108227#section=MeSH-Tree
MassbankEU:SM884302 7-Diethylamino-4-methylcoumarin|7-(Diethylamino)-4-methylchromen-2-one	7-Diethylamino-4-methylcoumarin	InChI=1S/C14H17NO2/c1-4-15(5-2)11-6-7-12-10(3)8-14(16)17-13(12)9-11/h6-9H,4-5H2,1-3H3	CCN(CC)C1=CC2=C(C=C1)C(=CC(=O)O2)C	phytochemical	phenolic acid	hydroxycinnamic acid	environmental	environmental	environmental	dye						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/7050
Anisatin	Anisatin	InChI=1S/C15H20O8/c1-6-3-7(16)15(21)13(6)4-8(23-10(18)9(13)17)12(2,20)14(15)5-22-11(14)19/h6-9,16-17,20-21H,3-5H2,1-2H3/t6-,7-,8-,9+,12+,13+,14+,15-/m1/s1	CC1CC(C2(C13CC(C(C24COC4=O)(C)O)OC(=O)C3O)O)O				insecticide	environmental	environmental	biocide			yes	insecticidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/115121#section=Names-and-Identifiers
Antimycin A2	Antimycin A2	InChI=1S/C27H38N2O9/c1-5-7-8-9-12-19-24(38-21(31)11-6-2)17(4)37-27(35)22(16(3)36-26(19)34)29-25(33)18-13-10-14-20(23(18)32)28-15-30/h10,13-17,19,22,24,32H,5-9,11-12H2,1-4H3,(H,28,30)(H,29,33)	CCCCCCC1C(C(OC(=O)C(C(OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CCC				antimicrobial	environmental	environmental	unknown						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/3084471#section=Top
Avobenzone	Avobenzone	InChI=1S/C20H22O3/c1-20(2,3)16-9-5-14(6-10-16)18(21)13-19(22)15-7-11-17(23-4)12-8-15/h5-12H,13H2,1-4H3	CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC	other	flavonoid	dihydrochalcone	environmental	environmental	personal care products	UV protectant						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/51040
Azelaic acid	Azelaic acid	InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)	C(CCCC(=O)O)CCCC(=O)O	lipid	fatty acyl		environmental	environmental	personal care products	multiple sources						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/2266
Spectral Match to Azelaic acid from NIST14	Azelaic acid	InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)	C(CCCC(=O)O)CCCC(=O)O	lipid	fatty acyl		environmental	environmental	personal care products	multiple sources						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/2266
Azoxystrobin	Azoxystrobin	InChI=1S/C22H17N3O5/c1-27-13-17(22(26)28-2)16-8-4-6-10-19(16)30-21-11-20(24-14-25-21)29-18-9-5-3-7-15(18)12-23/h3-11,13-14H,1-2H3/b17-13+	COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC	other			antimicrobial	environmental	environmental	biocide			yes	fungicidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/3034285
Pesticide2_Benfuracarb_C20H30N2O5S_Oncol	Benfuracarb	InChI=1S/C20H30N2O5S/c1-7-25-17(23)11-12-22(14(2)3)28-21(6)19(24)26-16-10-8-9-15-13-20(4,5)27-18(15)16/h8-10,14H,7,11-13H2,1-6H3	CCOC(=O)CCN(C(C)C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C	other		benzofuran	insecticide	environmental	environmental	biocide			yes	fungicidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Benfuracarb
Benoxacor	Benoxacor	InChI=1S/C11H11Cl2NO2/c1-7-6-16-9-5-3-2-4-8(9)14(7)11(15)10(12)13/h2-5,7,10H,6H2,1H3	CC1COC2=CC=CC=C2N1C(=O)C(Cl)Cl	other			herbicide	environmental	environmental	herbicide safener						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/62306#section=Names-and-Identifiers
.beta.-Gentiobiose	beta-Gentiobiose	InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11-,12-/m1/s1	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O	carbohydrate	disaccharide		environmental	environmental	environmental	plant						yes		yes	no	crocus sativus and gardenia, color and sugar substitute, from flower	https://pubchem.ncbi.nlm.nih.gov/compound/Gentiobiose#section=3D-Conformer
Betulinic acid	Betulinic acid	InChI=1S/C30H48O3/c1-18(2)19-10-15-30(25(32)33)17-16-28(6)20(24(19)30)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h19-24,31H,1,8-17H2,2-7H3,(H,32,33)/t19-,20+,21-,22+,23-,24+,27-,28+,29+,30-/m0/s1	CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O	phytochemical	terpene	triterpenoid	environmental	environmental	sampling device	wooden handle swab						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/betulinic_acid
Betulinic acid methyl ester	Betulinic acid methyl ester	InChI=1S/C31H50O3/c1-19(2)20-11-16-31(26(33)34-8)18-17-29(6)21(25(20)31)9-10-23-28(5)14-13-24(32)27(3,4)22(28)12-15-30(23,29)7/h20-25,32H,1,9-18H2,2-8H3/t20-,21+,22-,23+,24-,25+,28-,29+,30+,31-/m0/s1	CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)OC	phytochemical	terpene	triterpenoid	environmental	environmental	sampling device	wooden handle swab						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/73493#section=Top
Boscalid	Boscalid	InChI=1S/C18H12Cl2N2O/c19-13-9-7-12(8-10-13)14-4-1-2-6-16(14)22-18(23)15-5-3-11-21-17(15)20/h1-11H,(H,22,23)	C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl	amino acid / peptide	peptide_other		antimicrobial	environmental	environmental	fungicide			yes	fungicidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/213013#section=Names-and-Identifiers
Pesticide4_Boscalid_C18H12Cl2N2O_3-Pyridinecarboxamide, 2-chloro-N-(4'-chloro[1,1'-biphenyl]-2-yl)-	Boscalid	InChI=1S/C18H12Cl2N2O/c19-13-9-7-12(8-10-13)14-4-1-2-6-16(14)22-18(23)15-5-3-11-21-17(15)20/h1-11H,(H,22,23)	C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl	amino acid / peptide	peptide_other		antimicrobial	environmental	environmental	biocide			yes	fungicidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Boscalid
Pesticide5_Buprofezin_C16H23N3OS_(2Z)-2-(tert-Butylimino)-3-(1-methylethyl)-5-phenyl-1,3,5-thiadiazinan-4-one	Buprofezin	InChI=1S/C16H23N3OS/c1-12(2)19-14(17-16(3,4)5)21-11-18(15(19)20)13-9-7-6-8-10-13/h6-10,12H,11H2,1-5H3	CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2	amino acid / peptide	thiadiazine		insecticide	environmental	environmental	biocide			yes	insecticidal;pesticidal		yes		yes	no	insect growth regulator	https://pubchem.ncbi.nlm.nih.gov/compound/buprofezin
MLS001332387-01!Chlorhexidine55-56-1	Chlorhexidine	InChI=1S/C22H30Cl2N10/c23-15-5-9-17(10-6-15)31-21(27)33-19(25)29-13-3-1-2-4-14-30-20(26)34-22(28)32-18-11-7-16(24)8-12-18/h5-12H,1-4,13-14H2,(H5,25,27,29,31,33)(H5,26,28,30,32,34)	C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl	other			environmental	environmental	environmental	biocide						yes		yes	no	disinfectant	https://pubchem.ncbi.nlm.nih.gov/compound/9552079#section=Top
Spectral Match to Chlorhexidine from NIST14	Chlorhexidine	InChI=1S/C22H30Cl2N10/c23-15-5-9-17(10-6-15)31-21(27)33-19(25)29-13-3-1-2-4-14-30-20(26)34-22(28)32-18-11-7-16(24)8-12-18/h5-12H,1-4,13-14H2,(H5,25,27,29,31,33)(H5,26,28,30,32,34)	C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl	other			environmental	environmental	environmental	biocide			yes	disinfectant		yes		yes	no	disinfectant	https://pubchem.ncbi.nlm.nih.gov/compound/9552079#section=Top
(+)-trans-Chrysanthemic acid	Chrysanthemic acid	InChI=1S/C10H16O2/c1-6(2)5-7-8(9(11)12)10(7,3)4/h5,7-8H,1-4H3,(H,11,12	CC(=CC1C(C1(C)C)C(=O)O)C				insecticide	environmental	environmental	biocide			yes	insecticidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/chrysanthemic_acid#section=Names-and-Identifiers
Cyphenothrin	Cyphenothrin	InChI=1S/C24H25NO3/c1-16(2)13-20-22(24(20,3)4)23(26)28-21(15-25)17-9-8-12-19(14-17)27-18-10-6-5-7-11-18/h5-14,20-22H,1-4H3	CC(=CC1C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C	lipid	fatty acid ester		insecticide	environmental	environmental	biocide			yes	insecticidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Cyphenothrin#section=Top
Spectral Match to Decaethylene glycol from NIST14	Decaethylene glycol	InChI=1S/C20H42O11/c21-1-3-23-5-7-25-9-11-27-13-15-29-17-19-31-20-18-30-16-14-28-12-10-26-8-6-24-4-2-22/h21-22H,1-20H2	C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O				environmental	environmental	environmental	surfactant						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/79689#section=Top
Deltamethrin	Deltamethrin	InChI=1S/C22H19Br2NO3/c1-22(2)17(12-19(23)24)20(22)21(26)28-18(13-25)14-7-6-10-16(11-14)27-15-8-4-3-5-9-15/h3-12,17-18,20H,1-2H3/t17-,18+,20-/m0/s1	CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C	other		pyrethrin	insecticide	environmental	environmental	biocide			yes	insecticidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/40585
Desmedipham	Desmedipham	InChI=1S/C16H16N2O4/c1-2-21-15(19)18-13-9-6-10-14(11-13)22-16(20)17-12-7-4-3-5-8-12/h3-11H,2H2,1H3,(H,17,20)(H,18,19)	CCOC(=O)NC1=CC(=CC=C1)OC(=O)NC2=CC=CC=C2	other		carbamate ester	herbicide	environmental	environmental	biocide			yes	herbicidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/24743
Spectral Match to Hexanedioic acid, bis(2-ethylhexyl) ester from NIST14	Di(2-ethylhexyl) adipate	InChI=1S/C22H42O4/c1-5-9-13-19(7-3)17-25-21(23)15-11-12-16-22(24)26-18-20(8-4)14-10-6-2/h19-20H,5-18H2,1-4H3	CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC	lipid	fatty acid ester		environmental	environmental	environmental	plasticizer						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/bis_2-ethylhexyl__adipate#section=Top
Spectral Match to Dibutyl adipate from NIST14	Dibutyl adipate	InChI=1S/C14H26O4/c1-3-5-11-17-13(15)9-7-8-10-14(16)18-12-6-4-2/h3-12H2,1-2H3	CCCCOC(=O)CCCCC(=O)OCCCC	lipid	fatty acid ester		environmental	environmental	personal care products	plasticizer						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/7784#section=Top
Spectral Match to Dibutyl phthalate from NIST14	Dibutyl phthalate	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	other		phthalate	environmental	environmental	environmental	phthalate						yes	yes	yes	no	observed in dark web drugs	https://pubchem.ncbi.nlm.nih.gov/compound/3026#section=Names-and-Identifiers
MoNA:933617 Diethyl phthalate (NF)	Diethyl phthalate	InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3	CCOC(=O)C1=CC=CC=C1C(=O)OCC	other		phthalate ester	environmental	environmental	environmental	phthalate						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/6781
Spectral Match to Diethyl phthalate from NIST14	Diethyl phthalate	InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3	CCOC(=O)C1=CC=CC=C1C(=O)OCC	other		phthalate ester	environmental	environmental	environmental	phthalate						yes	yes	yes	no		https://en.wikipedia.org/wiki/Diethyl_phthalate
DEET (Diethyltoluamide)	DEET	InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3	CCN(CC)C(=O)C1=CC(=CC=C1)C	other		carboxamide	insecticide	environmental	environmental	insect repellant			yes	insect repellant		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/N_N-Diethyl-3-methylbenzamide
Spectral Match to Diisodecyl phthalate from NIST14	Diisodecyl phthalate	InChI=1S/C28H46O4/c1-23(2)17-11-7-5-9-15-21-31-27(29)25-19-13-14-20-26(25)28(30)32-22-16-10-6-8-12-18-24(3)4/h13-14,19-20,23-24H,5-12,15-18,21-22H2,1-4H3	CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C			phthalate	environmental	environmental	environmental	phthalate						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/33599
Spectral Match to Diisooctyl phthalate from NIST14	Diisooctyl phthalate	InChI=1S/C24H38O4/c1-19(2)13-7-5-11-17-27-23(25)21-15-9-10-16-22(21)24(26)28-18-12-6-8-14-20(3)4/h9-10,15-16,19-20H,5-8,11-14,17-18H2,1-4H3	CC(C)CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC(C)C			phthalate ester	environmental	environmental	environmental	phthalate						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/33934
Dinex	Dinex	InChI=1S/C12H14N2O5/c15-12-10(8-4-2-1-3-5-8)6-9(13(16)17)7-11(12)14(18)19/h6-8,15H,1-5H2	C1CCC(CC1)C2=CC(=CC(=C2O)[N+](=O)[O-])[N+](=O)[O-]				insecticide	environmental	environmental	biocide			yes	insecticidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Dinex#section=Classification
Spectral Match to Dioctyl phthalate from NIST14	Dioctyl phthalate	InChI=1S/C24H38O4/c1-3-5-7-9-11-15-19-27-23(25)21-17-13-14-18-22(21)24(26)28-20-16-12-10-8-6-4-2/h13-14,17-18H,3-12,15-16,19-20H2,1-2H3	CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC	other		phthalate	environmental	environmental	environmental	phthalate						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/8346#section=2D-Structure
Erucamide	Erucylamide	InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)/b10-9-	CCCCCCCCC=CCCCCCCCCCCCC(=O)N	lipid	fatty acid		environmental	environmental	environmental	slip agent						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Erucylamide#section=Regulatory-Information
Etofenprox	Etofenprox	InChI=1S/C25H28O3/c1-4-27-22-15-13-21(14-16-22)25(2,3)19-26-18-20-9-8-12-24(17-20)28-23-10-6-5-7-11-23/h5-17H,4,18-19H2,1-3H3	CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3				insecticide	environmental	environmental	biocide			yes	insecticidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Etofenprox
Pesticide5_Fenamidone_C17H17N3OS_(S)-1-Anilino-4-methyl-2-methylthio-4-phenylimidazolin-5-one	Fenamidone	InChI=1S/C17H17N3OS/c1-17(13-9-5-3-6-10-13)15(21)20(16(18-17)22-2)19-14-11-7-4-8-12-14/h3-12,19H,1-2H3/t17-/m0/s1	CC1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3				antimicrobial	environmental	environmental	biocide			yes	fungicidal;pesticidal		yes		yes	no	used on foliage	https://pubchem.ncbi.nlm.nih.gov/compound/Fenamidone
Massbank:EA266604 Fipronil|5-amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-(trifluoromethylsulfinyl)-3-pyrazolecarbonitrile	Fipronil	InChI=1S/C12H4Cl2F6N4OS/c13-5-1-4(11(15,16)17)2-6(14)8(5)24-10(22)9(7(3-21)23-24)26(25)12(18,19)20/h1-2H,22H2	C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F				insecticide	environmental	environmental	biocide			yes	insecticidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/3352#section=Top
Flumorph	Flumorph	InChI=1S/C21H22FNO4/c1-25-19-8-5-16(13-20(19)26-2)18(15-3-6-17(22)7-4-15)14-21(24)23-9-11-27-12-10-23/h3-8,13-14H,9-12H2,1-2H3/b18-14+	COC1=C(C=C(C=C1)C(=CC(=O)N2CCOCC2)C3=CC=C(C=C3)F)OC				antimicrobial	environmental	environmental	biocide			yes	fungicidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/11057755
Fluopyram	Fluopyram	InChI=1S/C16H11ClF6N2O/c17-12-7-9(15(18,19)20)8-25-13(12)5-6-24-14(26)10-3-1-2-4-11(10)16(21,22)23/h1-4,7-8H,5-6H2,(H,24,26)	C1=CC=C(C(=C1)C(=O)NCCC2=C(C=C(C=N2)C(F)(F)F)Cl)C(F)(F)F				antimicrobial	environmental	environmental	biocide			yes	fungicidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/11158353
Pesticide2_Furathiocarb_C18H26N2O5S_Butyl 2,3-dihydro-2,2-dimethylbenzofuran-7-yl-N,N'-dimethyl-N,N'-thiodicarbamate	Furathiocarb	InChI=1S/C18H26N2O5S/c1-6-7-11-23-16(21)19(4)26-20(5)17(22)24-14-10-8-9-13-12-18(2,3)25-15(13)14/h8-10H,6-7,11-12H2,1-5H3	CCCCOC(=O)N(C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C	other		benzofuran	insecticide	environmental	environmental	biocide			yes	insecticidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Furathiocarb
Hexaethylene glycol	Hexaethylene glycol	InChI=1S/C12H26O7/c13-1-3-15-5-7-17-9-11-19-12-10-18-8-6-16-4-2-14/h13-14H,1-12H2	C(COCCOCCOCCOCCOCCO)O				environmental	environmental	environmental	surfactant						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/17472
Pesticide5_Hexythiazox_C17H21ClN2O2S_(4S,5S)-5-(4-Chlorophenyl)-N-cyclohexyl-4-methyl-2-oxo-1,3-thiazolidine-3-carboxamide	Hexythiazox	InChI=1S/C17H21ClN2O2S/c1-11-15(12-7-9-13(18)10-8-12)23-17(22)20(11)16(21)19-14-5-3-2-4-6-14/h7-11,14-15H,2-6H2,1H3,(H,19,21)/t11-,15+/m0/s1	CC1C(SC(=O)N1C(=O)NC2CCCCC2)C3=CC=C(C=C3)Cl				insecticide	environmental	environmental	biocide			yes	insecticidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Hexythiazox
Pesticide4_Imazalil_C14H14Cl2N2O_Freshgard	Imazalil/Enilconazole	InChI=1S/C14H14Cl2N2O/c1-2-7-19-14(9-18-6-5-17-10-18)12-4-3-11(15)8-13(12)16/h2-6,8,10,14H,1,7,9H2	C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl				antimicrobial	environmental	environmental	biocide			yes	fungicidal;pesticidal		yes		yes	no	imazalil	https://pubchem.ncbi.nlm.nih.gov/compound/37175
Spectral Match to Imazalil from NIST14	Imazalil/Enilconazole	InChI=1S/C14H14Cl2N2O/c1-2-7-19-14(9-18-6-5-17-10-18)12-4-3-11(15)8-13(12)16/h2-6,8,10,14H,1,7,9H2	C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl				antimicrobial	environmental	environmental	biocide			yes	fungicidal;pesticidal		yes		yes	no	imazalil	https://pubchem.ncbi.nlm.nih.gov/compound/37175
Imazamox	Imazamox	InChI=1S/C15H19N3O4/c1-8(2)15(3)14(21)17-12(18-15)11-10(13(19)20)5-9(6-16-11)7-22-4/h5-6,8H,7H2,1-4H3,(H,19,20)(H,17,18,21)	CC(C)C1(C(=O)NC(=N1)C2=NC=C(C=C2C(=O)O)COC)C				herbicide	environmental	environmental	biocide			yes	herbicidal;pesticidal		yes		yes	no	commonly applied to soybeans	https://www3.epa.gov/pesticides/chem_search/reg_actions/registration/fs_PC-129171_22-May-97.pdf ; https://pubchem.ncbi.nlm.nih.gov/compound/86137
Massbank:EA270909 Imidacloprid|N-[1-[(6-chloranylpyridin-3-yl)methyl]-4,5-dihydroimidazol-2-yl]nitramide	Imidacloprid	InChI=1S/C9H10ClN5O2/c10-8-2-1-7(5-12-8)6-14-4-3-11-9(14)13-15(16)17/h1-2,5H,3-4,6H2,(H,11,13)	C1CN(C(=N1)N[N+](=O)[O-])CC2=CN=C(C=C2)Cl				insecticide	environmental	environmental	biocide			yes	insecticidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/86418
Pesticide3_Indoxacarb_C22H17ClF3N3O7_Methyl (4aS)-7-chloro-2-{(methoxycarbonyl)[4-(trifluoromethoxy)phenyl]carbamoyl}-2,5-dihydroindeno[1,2-e][1,3,4]oxadiazine-4a(3H)-carboxylate	indoxacarb	InChI=1S/C22H17ClF3N3O7/c1-33-18(30)21-10-12-9-13(23)3-8-16(12)17(21)27-28(11-35-21)19(31)29(20(32)34-2)14-4-6-15(7-5-14)36-22(24,25)26/h3-9H,10-11H2,1-2H3/t21-/m0/s1	COC(=O)C12CC3=C(C1=NN(CO2)C(=O)N(C4=CC=C(C=C4)OC(F)(F)F)C(=O)OC)C=CC(=C3)Cl				insecticide	environmental	environmental	biocide			yes	insecticidal;pesticidal		yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/107720
Lauric acid diethanolamide	Lauric Diethanolamide	InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3	CCCCCCCCCCCC(=O)N(CCO)CCO	lipid	fatty acid		food additive	environmental	personal care products	emulsifier					soaps;handwashing;food additive	yes	yes	yes	no	cosmetic products;N-acyl Amines	https://pubchem.ncbi.nlm.nih.gov/compound/N_N-Bis_2-hydroxyethyl_dodecanamide#section=Top;https://en.wikipedia.org/wiki/Diethanolamide
Massbank:EA013505 Metalaxyl|2-(N-(2-methoxy-1-oxoethyl)-2,6-dimethylanilino)propanoic acid methyl ester	Metalaxyl	InChI=1S/C15H21NO4/c1-10-7-6-8-11(2)14(10)16(13(17)9-19-4)12(3)15(18)20-5/h6-8,12H,9H2,1-5H3	CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC	other			antimicrobial	environmental	environmental	biocide			yes	fungicidal;pesticidal		yes		yes	no	used on vegetable crops and peas	https://pubchem.ncbi.nlm.nih.gov/compound/42586
Monoelaidin	Monoelaidin	InChI=1S/C21H40O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h9-10,20,22-23H,2-8,11-19H2,1H3/b10-9+	CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)O	lipid	monoglyceride		environmental	environmental	environmental	surfactant						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Monoelaidin#section=2D-Structure
Spectral Match to Monolaurin from NIST14	Monolaurin	InChI=1S/C15H30O4/c1-2-3-4-5-6-7-8-9-10-11-15(18)19-13-14(17)12-16/h14,16-17H,2-13H2,1H3	CCCCCCCCCCCC(=O)OCC(CO)O	lipid	fatty acid ester		environmental	environmental	personal care products	surfactant						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Monolaurin#section=Top
Spectral Match to Monolauryl phosphate from NIST14	Monolauryl phosphate	InChI=1S/C12H27O4P/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15/h2-12H2,1H3,(H2,13,14,15)	CCCCCCCCCCCCOP(=O)(O)O	lipid	phospholipid		environmental	environmental	environmental	organophosphate						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Monolauryl_phosphate#section=2D-Structure
